snippet_id,strategy,true_label,pred_label,vote_margin
0,cot,positive,negative,
0,direct,positive,negative,
0,sc_cot,positive,negative,1.0
1,cot,positive,positive,
1,direct,positive,positive,
1,sc_cot,positive,positive,1.0
2,cot,positive,positive,
2,direct,positive,positive,
2,sc_cot,positive,positive,1.0
3,cot,positive,positive,
3,direct,positive,positive,
3,sc_cot,positive,positive,1.0
4,cot,positive,positive,
4,direct,positive,positive,
4,sc_cot,positive,positive,1.0
5,cot,positive,positive,
5,direct,positive,positive,
5,sc_cot,positive,positive,1.0
6,cot,positive,positive,
6,direct,positive,positive,
6,sc_cot,positive,positive,1.0
7,cot,positive,negative,
7,direct,positive,negative,
7,sc_cot,positive,negative,1.0
8,cot,positive,positive,
8,direct,positive,positive,
8,sc_cot,positive,positive,1.0
9,cot,positive,positive,
9,direct,positive,positive,
9,sc_cot,positive,positive,1.0
10,cot,positive,positive,
10,direct,positive,positive,
10,sc_cot,positive,positive,1.0
11,cot,positive,negative,
11,direct,positive,negative,
11,sc_cot,positive,negative,0.7142857142857143
12,cot,positive,positive,
12,direct,positive,positive,
12,sc_cot,positive,positive,1.0
13,cot,positive,positive,
13,direct,positive,positive,
13,sc_cot,positive,positive,1.0
14,cot,positive,positive,
14,direct,positive,positive,
14,sc_cot,positive,positive,1.0
15,cot,positive,positive,
15,direct,positive,positive,
15,sc_cot,positive,positive,1.0
16,cot,positive,positive,
16,direct,positive,positive,
16,sc_cot,positive,positive,1.0
17,cot,positive,positive,
17,direct,positive,positive,
17,sc_cot,positive,positive,1.0
18,cot,positive,positive,
18,direct,positive,positive,
18,sc_cot,positive,positive,0.7142857142857143
19,cot,positive,positive,
19,direct,positive,positive,
19,sc_cot,positive,positive,1.0
20,cot,positive,positive,
20,direct,positive,positive,
20,sc_cot,positive,positive,1.0
21,cot,positive,positive,
21,direct,positive,negative,
21,sc_cot,positive,negative,1.0
22,cot,positive,positive,
22,direct,positive,positive,
22,sc_cot,positive,positive,1.0
23,cot,positive,positive,
23,direct,positive,positive,
